name,age,country,intMatches,matches,batInns,notOuts,runs,ballsFaced,foursScored,sixesScored,catches&stumpings,bowlInns,ballsBowled,runsConceded,wickets
Shahadat Hossain,20,Bangladesh,0,5,5,0,41,52,5,0,3,1,5,7,0
Shahbaz Chouhan,26,Bangladesh,0,10,4,1,9,8,0,1,1,7,108,139,1
Shahriar Komol,26,Bangladesh,0,4,4,1,43,40,6,1,3,0,0,0,0
Shakib Al Hasan,34,Bangladesh,94,362,332,47,5858,4822,538,151,90,356,7677,8671,414
Shakil Hossain,21,Bangladesh,0,3,3,1,25,26,2,0,5,0,0,0,0
Shamim Hossain,21,Bangladesh,10,50,45,6,724,549,58,33,30,14,164,179,8
Shamsul Islam,27,Bangladesh,0,1,1,0,0,1,0,0,0,0,0,0,0
Shamsur Rahman,33,Bangladesh,9,96,85,9,1741,1477,157,52,26,2,18,31,1
Shanaj Ahmed,29,Bangladesh,0,1,1,0,7,10,1,0,0,0,0,0,0
Sharifullah,35,Bangladesh,0,32,24,12,170,185,14,2,8,27,504,527,27
Sheikh Jubayer Hassan,19,Bangladesh,0,1,0,0,0,0,0,0,0,1,18,25,0
Shohidul Islam,27,Bangladesh,1,46,20,10,62,86,5,1,7,46,942,1263,69
Shoriful Islam,20,Bangladesh,17,67,24,9,70,69,8,4,23,66,1337,1868,81
Shuvagata Hom,35,Bangladesh,5,115,95,17,1267,942,101,59,53,72,871,1124,44
Shykat Ali,28,Bangladesh,0,47,45,3,766,646,65,36,18,7,114,151,3
Sohag Gazi,30,Bangladesh,10,104,55,16,413,396,30,13,27,101,1928,2374,72
Sohrawordi Shuvo,33,Bangladesh,1,71,45,20,467,448,30,8,19,68,1185,1460,49
Soumya Sarkar,28,Bangladesh,66,180,177,15,3159,2681,309,118,85,68,883,1354,38
Subroto Shekhar,26,Bangladesh,0,3,1,0,4,5,0,0,0,3,30,49,0
Sujon Hawlader,26,Bangladesh,0,12,4,3,36,24,4,2,4,10,175,252,9
Sumon Khan,22,Bangladesh,0,25,18,9,128,118,7,7,7,25,490,691,28
Sunzamul Islam,32,Bangladesh,0,76,35,17,209,211,14,5,30,70,1269,1558,51
Tahjibul Islam,17,Bangladesh,0,2,1,0,3,11,0,0,1,0,0,0,0
Taibur Rahman,30,Bangladesh,0,14,12,4,159,167,14,1,1,7,72,100,5
Taijul Islam,30,Bangladesh,2,90,28,12,186,232,14,2,13,87,1577,1925,75
Tamim Iqbal,32,Bangladesh,78,238,237,22,6886,5756,710,208,72,2,13,18,0
Tanbir Hayder,30,Bangladesh,0,35,23,10,236,204,17,7,12,20,277,379,8
Tanvir Islam,25,Bangladesh,0,36,12,7,55,60,3,3,9,33,681,747,42
Tanzid Hasan,21,Bangladesh,0,21,21,3,437,395,32,17,17,0,0,0,0
Tanzim Hasan Sakib,19,Bangladesh,0,14,5,3,23,17,0,2,5,14,283,368,17
Tasamul Haque,30,Bangladesh,0,11,11,1,248,250,26,4,1,4,66,60,5
Taskin Ahmed,26,Bangladesh,33,107,43,19,154,181,10,6,12,103,2112,2912,119
Tipu Sultan,23,Bangladesh,0,12,3,1,15,19,1,0,2,12,198,242,4
Towfiq Khan,30,Bangladesh,0,3,3,0,31,29,3,2,2,0,0,0,0
Towhid Hridoy,21,Bangladesh,0,36,33,6,723,645,46,22,17,2,18,14,0
Towker Khan,24,Bangladesh,0,2,1,0,8,10,0,1,0,2,48,65,0
Yasir Ali,25,Bangladesh,0,65,58,8,1377,1094,95,58,29,1,6,8,0
Yeasin Arafat,23,Bangladesh,0,9,7,4,29,27,3,1,3,8,117,157,8
Zahiduzzaman,25,Bangladesh,0,12,8,3,109,108,7,3,8,0,0,0,0
Zakir Hasan,24,Bangladesh,1,62,48,8,708,634,74,16,11,0,0,0,0
Ziaur Rahman,35,Bangladesh,14,126,98,26,1410,1082,90,97,46,63,901,1291,46
Tom Abell,27,England,0,55,49,11,1286,894,124,30,36,8,60,100,2
Toby Albert,20,England,0,2,2,0,18,22,3,0,1,0,0,0,0
Moeen Ali,34,England,49,216,204,20,4671,3315,427,224,71,179,2992,3745,149
Tom Alsop,26,England,0,42,40,5,793,705,75,14,18,0,0,0,0
Jofra Archer,26,England,12,121,61,29,551,373,41,24,35,118,2700,3446,153
Gus Atkinson,24,England,0,17,8,4,39,34,2,2,6,17,286,423,22
Tom Bailey,30,England,0,24,6,1,21,22,0,1,9,24,378,590,25
Jonny Bairstow,32,England,63,166,153,26,3904,2838,329,170,113,0,0,0,0
Jake Ball,30,England,2,93,17,11,53,58,2,3,24,91,1833,2717,116
Gary Ballance,32,England,0,100,88,10,1807,1473,134,73,46,0,0,0,0
Tom Banton,23,England,14,75,74,3,1690,1133,174,82,45,0,0,0,0
Ed Barnard,26,England,0,88,56,21,569,435,56,14,46,82,1342,1993,52
Ed Barnes,24,England,0,5,1,0,7,6,1,0,1,4,60,115,2
George Bartlett,23,England,0,6,6,0,64,55,6,2,2,0,0,0,0
Gareth Batty,44,England,1,194,95,34,630,621,45,14,50,181,3452,4183,155
Will Beer,33,England,0,131,63,23,375,314,27,9,26,121,2298,2867,106
Daniel Bell-Drummond,28,England,0,124,122,8,3562,2622,362,88,40,11,105,179,5
Chris Benjamin,22,England,0,11,9,5,183,125,20,6,5,0,0,0,0
Dom Bess,24,England,0,17,8,3,41,41,5,0,2,17,336,417,16
Jacob Bethell,18,England,0,3,3,1,12,14,0,1,1,3,36,61,0
Sam Billings,30,England,37,215,201,30,4152,3154,351,128,140,0,0,0,0
Alex Blake,33,England,0,141,122,29,1898,1413,136,87,80,8,78,96,1
Josh Bohannon,24,England,0,22,14,5,112,111,10,0,11,0,0,0,0
Ravi Bopara,36,England,38,411,374,81,7987,6620,618,231,140,294,5040,6317,245
Scott Borthwick,31,England,1,106,55,18,650,649,39,10,50,84,1388,1865,74
James Bracey,24,England,0,30,26,3,425,346,40,8,19,0,0,0,0
Tim Bresnan,36,England,34,191,139,54,1748,1331,131,65,63,186,3616,4934,196
Danny Briggs,30,England,7,201,52,34,189,168,20,2,33,190,4079,4919,219
Harry Brook,22,England,1,56,54,13,1389,965,123,50,34,2,12,26,1
Jack Brooks,37,England,0,65,13,8,76,64,8,1,18,64,1204,1506,55
Pat Brown,23,England,4,56,10,7,22,38,1,0,13,55,1097,1651,66
Nathan Buck,30,England,0,66,21,13,96,94,5,5,14,65,1279,1885,71
Sol Budinger,22,England,0,5,4,0,52,44,6,1,3,0,0,0,0
Michael Burgess,27,England,0,52,42,9,491,438,34,18,33,0,0,0,0
Jack Burnham,25,England,0,26,20,1,194,218,12,5,10,1,1,0,0
Rory Burns,31,England,0,63,53,9,725,606,74,13,28,0,0,0,0
William Buttleman,21,England,0,9,9,1,158,132,21,4,3,0,0,0,0
Jos Buttler,31,England,88,298,276,50,7335,5093,639,309,197,0,0,0,0
Jack Campbell,22,England,0,2,1,0,6,8,1,0,0,1,12,21,1
Harry Came,23,England,0,11,11,0,207,173,26,2,5,0,0,0,0
Kiran Carlson,23,England,0,34,30,1,480,372,42,15,13,1,1,1,0
Brydon Carse,26,England,0,40,29,11,390,267,24,13,13,39,648,949,21
Matthew Carter,25,England,0,45,16,7,110,88,7,6,19,45,868,1079,50
Oliver Carter,20,England,0,2,1,1,0,2,0,0,2,0,0,0,0
Zak Chappell,25,England,0,18,11,3,69,54,3,4,7,17,307,497,15
Varun Chopra,34,England,0,116,113,13,2908,2450,251,82,25,0,0,0,0
Graham Clark,28,England,0,71,70,4,1594,1111,184,46,30,5,26,66,0
Jordan Clark,31,England,0,101,72,26,1013,769,56,42,36,76,1178,1775,58
Joe Clarke,25,England,0,113,110,7,2894,1896,287,127,40,0,0,0,0
Rikki Clarke,40,England,0,172,148,40,2305,1877,190,79,90,132,2244,2824,113
Mitchell Claydon,39,England,0,152,51,31,192,215,17,3,27,149,3145,4449,164
Josh Cobb,31,England,0,167,158,16,3548,2666,310,160,78,115,1548,2025,61
Ian Cockbain,35,England,0,144,136,27,3681,2787,315,121,69,0,0,0,0
Sam Cook,24,England,0,29,12,7,28,28,1,1,4,27,552,784,32
Chris Cooke,35,England,0,128,111,22,2022,1494,130,91,90,0,0,0,0
Paul Coughlin,29,England,0,47,32,9,555,408,34,18,13,40,691,1111,50
Jordan Cox,21,England,0,30,25,9,510,389,36,12,25,0,0,0,0
Ben Cox,30,England,0,133,117,43,2060,1639,187,49,88,0,0,0,0
Joe Cracknell,21,England,0,18,18,0,459,329,56,10,8,0,0,0,0
Mason Crane,25,England,2,56,16,14,59,72,1,0,12,54,1165,1413,64
Zak Crawley,24,England,0,38,36,2,1096,726,116,36,12,0,0,0,0
Harry Crawshaw,18,England,0,3,2,0,9,7,2,0,0,3,30,46,0
Matt Critchley,25,England,0,77,60,11,963,811,74,27,27,66,1230,1580,59
Steven Croft,37,England,0,209,191,45,4388,3574,330,131,123,133,1780,2198,78
Blake Cullen,20,England,0,20,10,5,61,53,5,1,4,18,343,531,30
Tom Cullen,30,England,0,1,1,0,5,9,0,0,1,0,0,0,0
Ben Curran,25,England,0,9,9,0,125,98,18,2,3,0,0,0,0
Sam Curran,23,England,16,109,82,22,1236,906,105,57,28,105,2021,2906,103
Tom Curran,26,England,30,156,89,31,1145,856,101,33,46,151,3077,4553,182
Scott Currie,20,England,0,13,7,4,7,15,0,0,3,12,222,302,20
Brett D'Oliveira,29,England,0,105,80,21,1456,1150,117,37,27,86,1368,1746,50
Alex Davies,27,England,0,88,82,12,1901,1481,204,37,59,0,0,0,0
Steven Davies,35,England,5,153,144,8,2850,2021,354,61,92,0,0,0,0
Will Davis,25,England,0,21,7,4,6,17,0,0,8,18,311,455,16
Liam Dawson,31,England,8,186,139,32,2021,1790,134,49,76,159,3029,3661,132
Joshua De Caires,19,England,0,1,1,0,14,7,2,1,2,0,0,0,0
Joe Denly,35,England,13,247,239,18,5771,4753,591,163,95,59,837,1085,45
Chris Dent,31,England,0,69,63,7,1337,1025,145,37,26,12,120,168,5
Luke Doneathy,19,England,0,2,2,1,10,8,1,0,0,1,12,19,1
Dan Douthwaite,25,England,0,29,26,5,346,261,16,26,5,24,364,536,20
Ben Duckett,27,England,1,145,138,21,3419,2540,393,67,71,0,0,0,0
Harry Duke,20,England,0,4,0,0,0,0,0,0,0,0,0,0,0
Matt Dunn,29,England,0,23,4,2,4,8,0,0,5,23,405,618,27
Ned Eckersley,32,England,0,78,66,15,848,760,71,13,32,0,0,0,0
Stephen Eskinazi,27,England,0,50,47,5,1524,1109,154,34,23,0,0,0,0
Laurie Evans,34,England,0,199,181,44,4695,3487,403,164,79,4,22,35,1
Tom Fell,28,England,0,9,7,0,69,78,4,1,2,0,0,0,0
Harry Finch,27,England,0,26,21,4,307,287,28,4,9,0,0,0,0
Steven Finn,32,England,21,130,28,20,78,91,7,0,40,126,2644,3567,162
Matthew Fisher,24,England,0,39,12,5,61,47,3,5,12,39,743,1128,43
Luke Fletcher,33,England,0,93,36,13,155,143,9,8,9,92,1865,2585,102
Will Fraine,25,England,0,26,25,8,321,213,28,14,17,0,0,0,0
James Fuller,32,England,0,112,75,25,1038,735,54,52,48,83,1646,2454,97
George Garton,24,England,1,51,25,8,295,225,22,14,14,48,899,1307,56
Emilio Gay,21,England,0,1,1,0,15,10,2,0,0,0,0,0,0
Ben Geddes,20,England,0,6,6,0,44,49,3,0,0,0,0,0,0
Richard Gleeson,34,England,0,52,12,7,24,29,2,0,11,51,1009,1346,50
Billy Godleman,33,England,0,96,90,7,1867,1626,174,44,43,0,0,0,0
Lewis Goldsworthy,21,England,0,15,12,2,210,185,18,5,4,14,252,312,14
Ben Green,24,England,0,18,11,3,165,125,7,8,12,12,180,265,8
Gavin Griffiths,28,England,0,60,20,17,56,63,3,2,12,57,992,1457,53
Lewis Gregory,29,England,9,156,122,29,1942,1393,173,71,68,131,2372,3562,133
Nick Gubbins,28,England,0,39,35,0,515,439,51,15,15,2,30,30,1
Sam Hain,26,England,0,81,78,14,2386,1862,219,57,49,0,0,0,0
Alex Hales,33,England,60,334,331,27,9371,6405,1046,361,161,2,3,7,0
Miles Hammond,26,England,0,60,54,3,1181,856,146,38,25,1,12,17,0
Calvin Harrison,23,England,0,23,13,4,92,73,9,2,14,20,334,412,23
Tom Hartley,22,England,0,32,11,6,46,48,4,0,8,31,622,724,25
Jack Haynes,21,England,0,9,9,0,171,127,20,4,2,0,0,0,0
Freddie Heldreich,20,England,0,5,0,0,0,0,0,0,0,5,108,117,5
Tom Helm,27,England,0,57,24,14,120,121,8,0,5,55,1102,1622,64
Ryan Higgins,27,England,0,87,77,24,1346,1012,101,50,21,63,1006,1495,62
James Hildreth,37,England,0,205,192,33,3900,3129,361,87,73,12,169,247,10
Lewis Hill,31,England,0,65,51,9,776,627,53,28,26,0,0,0,0
George Hill,21,England,0,10,7,1,57,66,3,2,3,4,39,50,1
Max Holden,24,England,0,24,23,3,539,419,57,13,16,1,6,12,0
Luke Hollman,21,England,0,19,17,5,269,205,22,8,11,16,282,359,18
Elliot Hooper,25,England,0,2,1,1,0,2,0,0,0,2,48,47,4
Adam Hose,29,England,0,65,64,6,1642,1139,162,67,30,0,0,0,0
Benny Howell,33,England,0,156,129,36,2120,1638,157,78,63,138,2917,3482,162
Fynn Hudson-Prentice,26,England,0,27,19,3,244,201,20,5,8,27,450,697,28
Alex Hughes,30,England,0,89,68,17,869,713,67,23,36,83,1415,1903,54
Liam Hurt,27,England,0,7,1,0,0,4,0,0,4,7,114,185,6
Will Jacks,23,England,0,75,68,5,1713,1106,172,84,26,33,413,499,19
Lyndon James,23,England,0,4,2,0,8,8,1,0,2,0,0,0,0
Keaton Jennings,29,England,0,70,51,17,1252,1027,95,25,15,29,510,628,22
Rob Jones,26,England,0,21,14,8,238,199,17,4,9,1,6,10,0
Chris Jordan,33,England,75,264,153,62,1308,1074,95,51,141,258,5262,7507,272
Rob Keogh,30,England,0,71,48,15,921,782,68,14,29,22,318,439,16
Feroze Khushi,22,England,0,3,3,0,19,20,1,1,0,0,0,0,0
Louis Kimber,24,England,0,9,6,0,102,74,5,5,6,0,0,0,0
Tom Kohler-Cadmore,27,England,0,108,107,10,2907,2091,261,129,60,0,0,0,0
Danny Lamb,26,England,0,34,16,8,170,153,14,4,3,30,558,769,28
Matthew Lamb,25,England,0,10,9,2,168,140,14,4,4,1,6,9,0
Tom Lammonby,21,England,0,41,32,8,492,326,43,21,13,16,192,320,11
Dan Lawrence,24,England,0,74,67,9,1575,1124,138,57,24,34,450,580,26
Jack Leach,30,England,0,2,0,0,0,0,0,0,0,2,48,60,5
Jack Leaning,28,England,0,77,67,16,1474,1106,96,59,38,13,132,168,8
Alex Lees,28,England,0,56,53,6,1350,1114,134,23,20,0,0,0,0
Archie Lenham,17,England,0,11,3,2,7,20,0,0,3,10,156,194,11
Jake Libby,29,England,0,42,36,7,1002,798,83,11,12,6,54,77,1
Arron Lilley,30,England,0,108,79,10,1415,942,135,63,59,82,1256,1571,49
Dan Lincoln,26,England,0,11,11,2,123,123,9,2,7,0,0,0,0
Jake Lintott,28,England,0,41,17,6,104,97,8,4,22,41,848,972,48
Liam Livingstone,28,England,17,167,158,14,4110,2853,287,243,71,72,1124,1482,69
David Lloyd,29,England,0,67,61,2,1407,1072,154,40,18,12,102,152,6
James Logan,24,England,0,2,0,0,0,0,0,0,0,2,24,18,2
Adam Lyth,34,England,0,142,133,3,3265,2267,357,116,79,39,512,654,25
Wayne Madsen,38,England,0,125,122,21,3018,2267,298,61,43,35,492,645,19
Saqib Mahmood,24,England,12,59,18,12,56,73,2,1,11,58,1130,1666,74
Dawid Malan,34,England,36,253,247,37,6775,5317,680,198,91,52,567,722,23
Mattie McKiernan,27,England,0,13,11,2,79,66,7,2,4,11,180,217,6
Lewis McManus,27,England,0,61,51,11,674,517,36,31,42,0,0,0,0
Ben Mike,23,England,0,28,21,7,270,189,20,11,11,19,232,424,15
Craig Miles,27,England,0,27,11,6,42,51,3,0,13,27,547,738,30
Tymal Mills,29,England,12,156,31,15,111,114,10,5,22,150,3207,4181,176
Matt Milnes,27,England,0,29,10,6,24,17,2,1,9,29,563,838,32
Daryl Mitchell,38,England,0,177,135,34,2310,1943,218,17,74,154,2341,2999,101
Tom Moores,25,England,0,93,80,17,1412,1060,104,70,65,0,0,0,0
Eoin Morgan,35,England,115,355,333,50,7476,5693,562,350,155,0,0,0,0
Dan Moriarty,23,England,0,26,2,2,15,10,1,1,1,24,498,566,28
Charlie Morris,29,England,0,26,6,4,8,12,0,0,6,26,499,790,28
Dan Mousley,20,England,0,9,8,1,189,153,16,5,3,7,72,92,3
Steven Mullaney,35,England,0,158,112,27,1464,1036,124,57,78,140,2457,3232,114
Aron Nijjar,27,England,0,25,12,5,75,62,5,3,12,25,561,685,25
Sam Northeast,32,England,0,127,117,13,2966,2321,275,70,33,0,0,0,0
Liam Norwell,30,England,0,26,6,5,5,8,0,0,10,24,459,737,13
Marcus O'Riordan,24,England,0,3,2,1,15,16,1,0,1,3,60,55,3
Craig Overton,27,England,0,63,34,14,322,269,16,13,35,62,1188,1763,58
Jamie Overton,27,England,0,70,38,13,401,238,29,25,39,63,1135,1795,59
Callum Parkinson,25,England,0,68,37,19,233,224,17,0,13,65,1367,1734,73
Matt Parkinson,25,England,4,67,11,4,24,32,3,0,7,66,1429,1789,103
Rishi Patel,23,England,0,14,12,1,175,137,14,7,7,0,0,0,0
Samit Patel,37,England,18,348,293,63,5930,4706,542,180,101,318,6261,7560,289
David Payne,31,England,0,109,24,14,49,57,1,1,20,107,2178,3091,133
Sam Pearce,24,England,0,4,3,1,11,13,1,0,1,4,68,117,0
Dillon Pennington,22,England,0,36,11,7,35,40,3,0,10,36,616,925,36
Michael Pepper,23,England,0,22,21,6,362,302,29,11,11,0,0,0,0
Jack Plom,22,England,0,13,9,4,38,38,2,2,5,13,244,391,16
Liam Plunkett,36,England,22,159,93,36,825,630,57,27,43,153,3007,4061,146
Harry Podmore,27,England,0,23,10,3,37,64,0,0,9,23,409,619,23
Ed Pollock,26,England,0,46,46,1,969,602,95,58,12,0,0,0,0
Ollie Pope,24,England,0,41,39,9,904,668,84,14,17,0,0,0,0
Jamie Porter,28,England,0,25,6,5,5,7,0,0,6,24,421,636,19
Matty Potts,23,England,0,40,15,9,127,90,9,5,14,39,789,1101,49
Josh Poysden,30,England,0,33,11,9,13,11,1,0,8,31,598,769,26
Tom Prest,18,England,0,7,7,1,135,117,11,3,4,0,0,0,0
Ben Raine,30,England,0,84,65,12,1013,772,76,48,19,71,1308,1949,71
Adil Rashid,34,England,73,213,99,39,731,698,53,11,57,206,4406,5420,248
Luis Reece,31,England,0,65,62,5,1441,1082,133,55,25,46,605,845,29
Will Rhodes,26,England,0,56,51,6,659,540,52,17,15,42,493,741,36
Ollie Robinson,28,England,0,49,23,10,92,95,6,1,20,46,884,1306,45
Ollie Robinson,23,England,0,18,15,2,243,210,25,4,13,0,0,0,0
Sam Robson,32,England,0,7,7,2,128,113,13,2,3,0,0,0,0
Joe Root,31,England,32,83,76,14,1994,1573,221,28,36,42,467,655,21
Billy Root,29,England,0,38,29,7,460,432,35,7,15,3,18,37,0
Adam Rossington,28,England,0,98,93,6,1824,1298,212,60,63,0,0,0,0
Jason Roy,31,England,58,272,266,14,7193,5006,798,269,125,2,18,39,1
Josh Rymell,20,England,0,1,1,0,21,17,4,0,1,0,0,0,0
Phil Salt,25,England,3,129,124,9,2870,1898,310,102,66,0,0,0,0
Andrew Salter,28,England,0,85,50,24,347,307,24,11,22,68,1278,1761,60
Ben Sanderson,33,England,0,53,18,12,57,72,2,2,8,53,998,1481,57
George Scott,26,England,0,34,26,10,352,337,19,12,16,7,74,124,3
George Scrimshaw,24,England,0,14,4,3,5,9,0,0,2,14,246,326,17
Nick Selman,26,England,0,24,21,1,526,406,53,14,9,0,0,0,0
Josh Shaw,26,England,0,21,3,2,2,3,0,0,4,21,336,491,17
John Simpson,33,England,0,137,121,23,2342,1780,160,88,97,0,0,0,0
Prem Sisodiya,23,England,0,19,5,4,14,5,2,1,3,19,450,558,18
Ben Slater,30,England,0,15,14,0,305,278,33,5,1,0,0,0,0
Will Smeed,20,England,0,30,29,2,875,631,80,42,17,0,0,0,0
Jamie Smith,21,England,0,25,19,6,393,337,35,5,10,0,0,0,0
Tom Smith,34,England,0,150,54,37,306,270,22,2,47,141,2844,3461,147
Scott Steel,22,England,0,33,29,1,713,588,52,23,2,24,392,441,16
Darren Stevens,45,England,0,225,201,43,4154,3040,335,177,66,152,2440,3256,125
Ryan Stevenson,29,England,0,22,12,6,62,47,7,1,6,22,387,621,14
Ben Stokes,30,England,34,148,135,20,2865,2121,236,121,65,109,1879,2669,86
Mark Stoneman,34,England,0,77,71,4,1342,1146,158,17,30,0,0,0,0
Harry Swindells,22,England,0,23,20,2,376,334,33,4,6,0,0,0,0
Jonathan Tattersall,27,England,0,35,25,8,382,307,32,3,29,0,0,0,0
Callum Taylor,23,England,0,16,15,4,138,153,10,3,5,6,66,86,5
Jack Taylor,30,England,0,103,83,22,1288,928,105,52,34,39,634,862,26
Matt Taylor,27,England,0,42,12,7,34,44,2,0,8,40,755,1118,36
Tom Taylor,27,England,0,19,15,3,173,142,13,6,9,18,302,479,15
Aaron Thomason,24,England,0,37,26,7,325,260,16,14,15,21,372,670,24
Jordan Thompson,25,England,0,54,41,11,505,306,31,35,18,46,732,1129,43
Alex Thomson,28,England,0,19,10,4,88,62,7,4,5,18,306,416,14
Charlie Thurston,25,England,0,12,9,0,109,110,6,3,6,0,0,0,0
Josh Tongue,24,England,0,7,2,2,3,2,0,0,3,7,114,163,4
Reece Topley,27,England,10,104,22,17,57,69,4,2,20,100,2121,2904,131
Peter Trego,40,England,0,211,195,23,4127,3281,442,116,57,117,1740,2494,78
Liam Trevaskis,22,England,0,41,27,11,229,192,13,11,24,34,739,902,34
James Vince,30,England,17,286,277,26,7496,5632,847,179,144,7,78,87,3
Matthew Waite,26,England,0,17,9,5,52,43,4,1,3,16,231,345,11
Roman Walker,21,England,0,9,4,1,3,9,0,0,1,9,179,247,13
Max Waller,33,England,0,143,36,21,106,136,6,1,86,137,2756,3383,137
Paul Walter,27,England,0,61,44,13,581,440,55,18,25,43,606,922,29
Harrison Ward,22,England,0,6,6,1,73,64,10,0,2,0,0,0,0
Joe Weatherley,25,England,0,33,31,2,712,545,46,26,8,1,6,9,0
James Weighell,28,England,0,34,23,9,197,148,10,13,18,33,555,902,25
Luke Wells,31,England,0,12,10,1,66,78,3,2,5,7,97,122,3
Riki Wessels,36,England,0,237,224,27,5684,4184,553,198,112,0,0,0,0
Tom Westley,32,England,0,93,86,8,2341,1802,266,47,34,21,234,296,7
Adam Wheater,32,England,0,129,106,16,1736,1398,171,33,80,0,0,0,0
Graeme White,34,England,0,131,58,27,449,332,37,22,46,119,2147,2899,107
Ross Whiteley,33,England,0,153,137,36,2585,1822,168,149,60,10,102,181,4
David Willey,31,England,32,208,155,31,2943,2086,222,157,86,185,3539,4668,205
Chris Woakes,32,England,16,125,73,38,852,622,69,30,47,122,2472,3393,137
Chris Wood,31,England,0,146,58,21,397,368,31,9,41,142,2964,4070,152
Luke Wood,26,England,0,57,19,7,94,94,5,2,22,57,946,1313,47
Mark Wood,32,England,19,40,14,8,107,104,10,0,4,40,849,1168,46
Tom Wood,27,England,0,8,7,1,242,192,27,4,4,0,0,0,0
Luke Wright,36,England,51,336,312,28,8368,5848,885,297,102,122,1799,2563,79
Rob Yates,22,England,0,9,9,0,144,118,14,6,1,3,48,66,1
Saif Zaib,23,England,0,25,19,4,257,198,24,9,11,10,108,150,2
Abdul Ela Al Quraishi,24,India,0,1,0,0,0,0,0,0,0,1,24,29,1
Abdul Samad,20,India,0,44,36,10,729,501,45,46,25,12,114,196,4
Abhijeet Saket,26,India,0,7,2,0,0,2,0,0,1,7,135,186,8
Abhinav Srivastava,20,India,0,2,2,0,10,15,1,0,1,0,0,0,0
Abhishek Goswami,24,India,0,5,5,0,86,86,9,2,3,0,0,0,0
Abhishek Sharma,21,India,0,43,41,9,791,569,66,39,14,22,276,320,16
Abhishek Yadav,26,India,0,14,14,2,270,213,25,10,2,3,29,36,1
Abid Mushtaq,25,India,0,15,6,1,41,43,4,1,1,14,288,291,13
Himalay Agarwal,28,India,0,20,18,0,258,269,13,10,2,0,0,0,0
Mayank Agarwal,31,India,0,164,159,11,3917,2912,382,141,62,1,6,8,0
Shubham Agarwal,28,India,0,12,7,2,119,101,4,5,2,11,233,228,18
Tanmay Agarwal,26,India,0,52,52,3,1509,1168,167,33,20,0,0,0,0
Abu Nechim,33,India,0,80,41,13,241,216,14,11,10,79,1525,1915,78
Khaleel Ahmed,24,India,14,69,10,5,10,27,0,0,13,69,1537,2082,87
Rajjakuddin Ahmed,26,India,0,27,25,5,352,241,26,20,19,24,303,389,15
Suraj Ahuja,22,India,0,6,4,0,33,41,3,0,4,0,0,0,0
Akash Deep,25,India,0,21,7,3,42,34,2,2,5,21,450,482,26
Akash Luitel,23,India,0,5,3,2,25,34,2,1,1,3,49,49,4
Akash Singh,19,India,0,3,0,0,0,0,0,0,0,3,60,86,2
Sajeevan Akhil,30,India,0,4,1,1,9,4,2,0,3,3,48,75,3
Al Bashid Muhammed,23,India,0,10,10,1,109,178,6,2,6,0,0,0,0
Roshan Alam,26,India,0,9,4,3,18,18,2,0,2,9,174,176,6
Felix Alemao,26,India,0,13,5,4,22,21,0,1,6,11,216,320,14
Aman Hakim Khan,25,India,0,5,5,2,40,27,3,2,4,1,6,7,0
Amit Ali,19,India,0,5,3,0,21,19,2,0,1,5,114,89,11
Amit Thakur,29,India,0,1,1,0,4,7,1,0,1,0,0,0,0
Amit Yadav,32,India,0,41,35,9,324,242,11,23,17,40,799,892,37
Anand Singh,35,India,0,27,26,3,638,534,84,16,11,20,270,376,10
Shashi Anand,24,India,0,1,1,0,0,4,0,0,0,1,4,12,0
Ankit Manori,21,India,0,1,1,0,19,9,3,1,0,1,18,25,0
Atharva Ankolekar,21,India,0,9,6,2,71,55,1,5,2,9,210,203,6
Anmolpreet Singh,23,India,0,37,29,2,503,471,35,16,15,0,0,0,0
Anuj Rawat,22,India,0,27,22,5,501,414,36,29,34,0,0,0,0
Anunay Singh,29,India,0,1,0,0,0,0,0,0,0,1,19,32,1
Baba Aparajith,27,India,0,54,46,10,975,897,68,24,30,25,332,324,16
Arjit Pannu,25,India,0,3,3,1,64,49,4,4,1,0,0,0,0
Sanyam Arora,20,India,0,1,1,1,68,46,8,3,0,0,0,0,0
Vaibhav Arora,24,India,0,12,3,3,0,0,0,0,3,12,260,302,12
Arpit Pannu,25,India,0,3,0,0,0,0,0,0,0,3,72,93,2
Arshdeep Singh,23,India,0,35,3,2,2,6,0,0,10,35,724,982,42
Priyansh Arya,21,India,0,2,2,0,26,27,5,0,1,0,0,0,0
Ashutosh Aman,35,India,0,23,15,3,100,129,4,2,6,22,474,461,30
Ashwin Hebbar,26,India,0,41,39,7,1117,893,112,37,15,11,156,238,7
Murugan Ashwin,31,India,0,85,25,11,119,143,4,3,28,85,1749,2111,82
Ravichandran Ashwin,35,India,51,265,96,37,795,696,73,19,62,262,5682,6548,264
KM Asif,28,India,0,20,3,3,1,3,0,0,3,20,373,505,21
Auqib Nabi,25,India,0,14,6,0,62,53,1,5,2,14,294,392,17
Mohit Avasthi,29,India,0,5,0,0,0,0,0,0,0,5,120,145,10
Avesh Khan,25,India,0,48,10,3,27,30,3,1,10,48,1068,1385,65
Avneesh Sudha,20,India,0,9,8,0,67,68,8,1,2,1,12,21,0
Babul Kumar,29,India,0,23,23,4,387,364,45,6,5,2,18,27,0
Satyajeet Bachhav,29,India,0,39,12,3,55,58,5,0,9,38,882,959,48
Ankush Bains,26,India,0,46,42,3,780,722,87,16,42,0,0,0,0
